iter	Passed	Remaining
0	47	47407
1	87	43498
2	273	91033
3	300	74850
4	470	93579
5	493	81799
6	678	96310
7	818	101536
8	838	92323
9	859	85102
10	883	79401
11	903	74426
12	938	71287
13	956	67384
14	975	64081
15	1021	62829
16	1075	62172
17	1131	61716
18	1199	61916
19	1255	61504
20	1525	71126
21	1757	78117
22	2042	86753
23	2089	84981
24	2135	83290
25	2163	81037
26	2255	81275
27	2279	79141
28	2307	77271
29	2498	80792
30	2536	79289
31	2593	78445
32	2632	77131
33	2653	75397
34	2685	74036
35	2833	75869
36	2921	76047
37	2944	74550
38	3133	77205
39	3157	75770
40	3357	78541
41	3392	77385
42	3441	76596
43	3502	76106
44	3559	75545
45	3591	74478
46	3638	73770
47	3681	73014
48	3893	75572
49	4092	77753
50	4142	77077
51	4350	79315
52	4384	78337
53	4449	77940
54	4687	80542
55	4902	82639
56	4955	81977
57	5015	81454
58	5114	81573
59	5177	81118
60	5394	83040
61	5502	83247
62	5535	82322
63	5587	81712
64	5618	80822
65	5649	79948
66	5702	79415
67	5726	78484
68	5936	80103
69	6150	81713
70	6241	81672
71	6271	80833
72	6308	80109
73	6542	81875
74	6721	82897
75	6745	82006
76	6939	83182
77	7009	82860
78	7096	82730
79	7191	82701
80	7285	82662
81	7312	81859
82	7337	81068
83	7376	80436
84	7442	80119
85	7494	79650
86	7712	80934
87	7736	80177
88	7801	79851
89	7847	79342
90	8060	80516
91	8148	80425
92	8212	80091
93	8282	79825
94	8324	79300
95	8444	79521
96	8487	79008
97	8518	78400
98	8557	77885
99	8587	77284
100	8688	77332
101	8753	77063
102	8806	76695
103	8850	76246
104	8876	75658
105	8941	75411
106	8968	74847
107	9194	75943
108	9394	76797
109	9420	76222
110	9451	75698
111	9486	75215
112	9586	75253
113	9879	76780
114	10093	77675
115	10119	77118
116	10146	76576
117	10178	76080
118	10206	75564
119	10253	75195
120	10302	74840
121	10361	74568
122	10382	74028
123	10401	73478
124	10428	72997
125	10484	72723
126	10707	73604
127	10750	73236
128	10774	72751
129	10812	72362
130	11004	73002
131	11054	72694
132	11081	72235
133	11119	71860
134	11148	71433
135	11181	71035
136	11206	70593
137	11260	70335
138	11329	70176
139	11349	69717
140	11383	69347
141	11407	68926
142	11445	68592
143	11510	68422
144	11538	68038
145	11557	67605
146	11614	67397
147	11742	67597
148	11775	67254
149	11889	67372
150	11924	67044
151	12011	67013
152	12056	66745
153	12110	66527
154	12148	66226
155	12172	65856
156	12339	66256
157	12369	65919
158	12396	65571
159	12425	65235
160	12451	64887
161	12504	64686
162	12680	65115
163	12730	64893
164	12771	64631
165	12815	64384
166	12843	64065
167	12890	63836
168	12932	63590
169	13170	64305
170	13191	63951
171	13212	63605
172	13238	63285
173	13393	63582
174	13422	63277
175	13455	62997
176	13692	63665
177	13765	63567
178	13795	63274
179	13835	63029
180	13867	62748
181	13923	62581
182	14179	63304
183	14211	63023
184	14286	62938
185	14319	62667
186	14355	62413
187	14583	62986
188	14682	63002
189	14933	63663
190	15205	64406
191	15300	64389
192	15360	64225
193	15408	64015
194	15544	64172
195	15693	64377
196	15725	64098
197	15786	63942
198	15819	63673
199	15903	63612
200	16099	63998
201	16161	63845
202	16213	63654
203	16276	63509
204	16390	63565
205	16427	63317
206	16453	63033
207	16481	62755
208	16554	62654
209	16802	63209
210	16862	63053
211	16938	62959
212	16967	62690
213	17016	62501
214	17119	62507
215	17343	62950
216	17599	63502
217	17634	63258
218	17700	63123
219	17769	63001
220	17992	63420
221	18089	63394
222	18309	63795
223	18422	63822
224	18681	64347
225	18753	64226
226	19038	64831
227	19298	65344
228	19560	65857
229	19618	65678
230	19866	66136
231	19915	65927
232	20150	66332
233	20381	66720
234	20593	67037
235	20789	67300
236	20864	67170
237	21104	67570
238	21338	67943
239	21591	68374
240	21729	68432
241	21917	68650
242	22189	69124
243	22293	69074
244	22560	69523
245	22839	70004
246	22914	69855
247	23154	70210
248	23371	70488
249	23628	70886
250	23704	70736
251	23777	70578
252	24010	70892
253	24259	71248
254	24510	71608
255	24758	71954
256	24999	72274
257	25263	72657
258	25498	72950
259	25548	72714
260	25826	73126
261	26074	73446
262	26197	73413
263	26458	73763
264	26697	74047
265	26957	74386
266	27201	74676
267	27431	74925
268	27670	75194
269	27938	75536
270	28190	75833
271	28370	75932
272	28608	76184
273	28833	76398
274	28936	76286
275	29179	76542
276	29468	76916
277	29718	77183
278	29992	77506
279	30228	77729
280	30485	78003
281	30718	78211
282	30941	78393
283	31194	78644
284	31427	78843
285	31684	79101
286	31803	79010
